店舗名称,エリア,券種,place_name,formatted_address,lat,lng,category
パンセ 横田店,横田,digital,（株）パンセ 本店,〒820-0044 福岡県飯塚市横田５８９−１,33.6406205,130.6688787,美容室
魚茂鮮魚店,飯塚,digital,飯塚 魚茂鮮魚店,〒820-0041 福岡県飯塚市飯塚１８−２,33.6370096,130.684746,飲食店
パドドゥ・ル・コトブキ,片島,digital,パドドゥ·ル·コトブキ,〒820-0068 福岡県飯塚市片島１丁目７−６２,33.6437833,130.677825,飲食店
ミシンのオズ西日本ミシン販売,柏の森,digital,西日本ミシン販売（株） 本社営業部,〒820-0011 福岡県飯塚市柏の森６０１−５,33.6458266,130.7022504,その他
カメラのキタムラ ゆめタウン飯塚店,菰田西,digital,カメラのキタムラ 飯塚・ゆめタウン飯塚店,〒820-0017 福岡県飯塚市菰田西３丁目６−１ ゆめタウン飯塚 ２階,33.6326205,130.6852813,電器店
時計宝石眼鏡ムカイダ,新飯塚,digital,メガネのムカイダ,〒820-0005 福岡県飯塚市新飯塚６−３,33.643836,130.693197,健康・医療
珈琲焙煎工房 まめや福岡ユタカ,西徳前,digital,焙煎工房 まめや福岡 ユタカ,〒820-0031 福岡県飯塚市西徳前４−３７,33.6378808,130.6803088,飲食店
藤﨑建築,横田,digital,藤崎建築,〒820-0044 福岡県飯塚市横田３６６−２,33.6405427,130.6742665,建設・工事
魚佐,飯塚,digital,魚佐,〒820-0041 福岡県飯塚市飯塚１０−２６,33.63635550000001,130.6862098,飲食店
第一ボウル,片島,digital,飯塚 第一ボウルランドパーク,〒820-0068 福岡県飯塚市片島１丁目１０−１４,33.6455685,130.6785308,ボウリング
無印良品かやの森,柏の森,digital,無印良品 かやの森,〒820-0011 福岡県飯塚市柏の森 大字柏ノ森字大谷８－５ １Ｆ,33.6453664,130.7108917,衣料品店
ニュウファッション神戸,菰田西,digital,ニュウファッション神戸,〒820-0017 福岡県飯塚市菰田西３丁目８−９,33.63229,130.6871458,衣料品店
炭火串焼弥一,新飯塚,digital,炭火串焼 弥一,〒820-0005 福岡県飯塚市新飯塚１５−４,33.6434194,130.6922611,飲食店
庄屋飯塚店,西徳前,digital,和食レストラン 庄屋 飯塚店,〒820-0031 福岡県飯塚市西徳前１４−３３６−２４,33.6373367,130.6759066,飲食店
ＰＯＬＡアメリーズ店,横田,digital,POLA 飯塚店,〒820-0044 福岡県飯塚市横田５８５−１,33.6409837,130.6670755,美容室
